Len,Source,Category,CTCode,Value
37,"CALCIUM PHOSPHATE, DIBASIC, ANHYDROUS",c,L11K75P92J,ANHYDROUS DIBASIC CALCIUM PHOSPHATE
37,"CALCIUM PHOSPHATE, DIBASIC, DIHYDRATE",c,O7TSZ97GEP,DIBASIC CALCIUM PHOSPHATE DIHYDRATE
37,POLYOXYETHYLENE SORBITAN MONOSTEARATE,c,CAL22UVI4M,POLYSORBATE 60
37,AMMONIO METHACRYLATE COPOLYMER TYPE A,c,8GQS4E66YY,AMMONIO METHACRYLATE COPOLYMER TYPE A
37,AMMONIO METHACRYLATE COPOLYMER TYPE B,c,161H3B14U2,AMMONIO METHACRYLATE COPOLYMER TYPE B
37,CAPRYLIC/CAPRIC/SUCCINIC TRIGLYCERIDE,c,J4BY50FL78,CAPRYLIC/CAPRIC/SUCCINIC TRIGLYCERIDE
37,DIISOPROPYLBENZOTHIAZYL-2-SULFENAMIDE,c,3LH1P5MUK0,DIISOPROPYLBENZOTHIAZYL-2-SULFENAMIDE
37,HYDROXYPROPYL CELLULOSE \(110000 WAMW\),c,5Y0974F5PW,HYDROXYPROPYL CELLULOSE \(110000 WAMW\)
37,HYDROXYPROPYL CELLULOSE \(430000 WAMW\),c,VQ8ZWO78F6,HYDROXYPROPYL CELLULOSE \(430000 WAMW\)
37,MAGNESIUM ALUMINOMETASILICATE TYPE IA,c,7LVU907546,MAGNESIUM ALUMINOMETASILICATE TYPE IA
37,"SODIUM PHOSPHATE, TRIBASIC, ANHYDROUS",c,SX01TZO3QZ,"SODIUM PHOSPHATE, TRIBASIC, ANHYDROUS"
37,SODIUM STARCH GLYCOLATE TYPE A POTATO,c,5856J3G2A2,SODIUM STARCH GLYCOLATE TYPE A POTATO
37,SODIUM STARCH GLYCOLATE TYPE B POTATO,c,27NA468985,SODIUM STARCH GLYCOLATE TYPE B POTATO
36,"HYDROXYPROPYL CELLULOSE, UNSPECIFIED",c,9XZ8H6N6OH,"HYDROXYPROPYL CELLULOSE, UNSPECIFIED"
36,3-\(N-MORPHOLINO\)PROPANESULFONIC ACID,c,273BP63NV3,3-\(N-MORPHOLINO\)PROPANESULFONIC ACID
36,POLYOXYETHYLENE SORBITAN MONOLAURATE,c,7T1F30V5YH,POLYSORBATE 20
