"STUDYID","DOMAIN","USUBJID","BWSEQ","BWTESTCD","BWTEST","BWORRES","BWORRESU","BWSTRESC","BWSTRESN","BWSTRESU","BWSTAT","BWREASND","BWBLFL","BWFAST","BWEXCLFL","BWREASEX","VISITDY","BWDTC","BWDY"
"GLP003","BW","107001631",82,"TERMBW","Terminal Body Weight","236.9","g","236.9",236.9,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-13T10:35:26",30
"GLP003","BW","107001499",83,"TERMBW","Terminal Body Weight","235.7","g","235.7",235.7,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-13T10:35:32",30
"GLP003","BW","107001552",84,"TERMBW","Terminal Body Weight","217.7","g","217.7",217.7,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-13T10:35:38",30
"GLP003","BW","107001505",85,"TERMBW","Terminal Body Weight","238.3","g","238.3",238.3,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-13T10:35:45",30
"GLP003","BW","107001637",86,"TERMBW","Terminal Body Weight","238.3","g","238.3",238.3,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-26T11:40:23",43
"GLP003","BW","107001612",87,"TERMBW","Terminal Body Weight","256.2","g","256.2",256.2,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-26T11:40:29",43
"GLP003","BW","107001574",88,"TERMBW","Terminal Body Weight","251.4","g","251.4",251.4,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-26T11:40:38",43
"GLP003","BW","107001519",89,"TERMBW","Terminal Body Weight","263.9","g","263.9",263.9,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-26T11:40:47",43
"GLP003","BW","107001589",90,"TERMBW","Terminal Body Weight","243.2","g","243.2",243.2,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-26T11:40:53",43
"GLP003","BW","107001447",91,"TERMBW","Terminal Body Weight","401.9","g","401.9",401.9,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:34:15",29
"GLP003","BW","107001414",92,"TERMBW","Terminal Body Weight","340.3","g","340.3",340.3,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:34:28",29
"GLP003","BW","107001400",93,"TERMBW","Terminal Body Weight","437.1","g","437.1",437.1,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:34:34",29
"GLP003","BW","107001454",94,"TERMBW","Terminal Body Weight","344.1","g","344.1",344.1,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:34:45",29
"GLP003","BW","107001393",95,"TERMBW","Terminal Body Weight","407.2","g","407.2",407.2,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:34:51",29
