"STUDYID","DOMAIN","USUBJID","SESEQ","ETCD","ELEMENT","SESTDTC","SEENDTC","SEUPDES"
"GLP003","SE","107001627",351,"D_4","200 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001565",352,"D_4","200 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001643",353,"D_4","200 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001515",354,"D_4","200 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001521",355,"D_4","200 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001508",356,"D_4","200 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001584",357,"D_4","200 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001566",358,"D_4","200 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001644",359,"D_4","200 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001587",360,"D_4","200 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001638",361,"D_4","200 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001449",362,"D_5","600 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001392",363,"D_5","600 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001495",364,"D_5","600 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001391",365,"D_5","600 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001477",366,"D_5","600 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001369",367,"D_5","600 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001461",368,"D_5","600 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001376",369,"D_5","600 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001420",370,"D_5","600 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001350",371,"D_5","600 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001474",372,"D_5","600 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001446",373,"D_5","600 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001485",374,"D_5","600 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001435",375,"D_5","600 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001383",376,"D_5","600 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001533",377,"D_5","600 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001617",378,"D_5","600 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001578",379,"D_5","600 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001571",380,"D_5","600 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001532",381,"D_5","600 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001522",382,"D_5","600 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001610",383,"D_5","600 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001504",384,"D_5","600 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001536",385,"D_5","600 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001633",386,"D_5","600 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001628",387,"D_5","600 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001554",388,"D_5","600 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001598",389,"D_5","600 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001555",390,"D_5","600 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001588",391,"D_5","600 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001374",392,"C_1","0 mg/kg/day Vehicle Control","2007-06-12","2007-06-12",NA
"GLP003","SE","107001490",393,"C_1","0 mg/kg/day Vehicle Control","2007-06-12","2007-06-12",NA
"GLP003","SE","107001487",394,"C_1","0 mg/kg/day Vehicle Control","2007-06-12","2007-06-12",NA
"GLP003","SE","107001349",395,"C_1","0 mg/kg/day Vehicle Control","2007-06-12","2007-06-12",NA
"GLP003","SE","107001358",396,"C_1","0 mg/kg/day Vehicle Control","2007-06-12","2007-06-12",NA
"GLP003","SE","107001390",397,"C_1","0 mg/kg/day Vehicle Control","2007-06-12","2007-06-12",NA
"GLP003","SE","107001459",398,"C_1","0 mg/kg/day Vehicle Control","2007-06-12","2007-06-12",NA
"GLP003","SE","107001468",399,"C_1","0 mg/kg/day Vehicle Control","2007-06-12","2007-06-12",NA
"GLP003","SE","107001360",400,"C_1","0 mg/kg/day Vehicle Control","2007-06-12","2007-06-12",NA
"GLP003","SE","107001516",401,"C_1","0 mg/kg/day Vehicle Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001607",402,"C_1","0 mg/kg/day Vehicle Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001614",403,"C_1","0 mg/kg/day Vehicle Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001580",404,"C_1","0 mg/kg/day Vehicle Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001640",405,"C_1","0 mg/kg/day Vehicle Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001573",406,"C_1","0 mg/kg/day Vehicle Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001635",407,"C_1","0 mg/kg/day Vehicle Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001597",408,"C_1","0 mg/kg/day Vehicle Control","2007-06-14","2007-06-14",NA
