"LBTEST","LBTESTCD","LBSPEC","SPECIES","SEX","LBSTRESU","LBSTRESM","LBSTRESSD","N"
"Alkaline Phosphatase","ALP","WHOLE BLOOD","RAT","F","U/L",73.5396875,35.8978758051659,160
"Alkaline Phosphatase","ALP","WHOLE BLOOD","RAT","M","U/L",137.5190625,59.8976752921587,160
"Alanine Aminotransferase","ALT","PLASMA","DOG","F","IU/L",32.8333333333333,7.22458802501205,62
"Alanine Aminotransferase","ALT","PLASMA","DOG","F","U/L",31.048,5.80454866334889,25
"Alanine Aminotransferase","ALT","PLASMA","DOG","M","IU/L",48.8229166666667,22.5881990453226,16
"Alanine Aminotransferase","ALT","PLASMA","DOG","M","U/L",35.2,6.66077169925749,25
"Alanine Aminotransferase","ALT","PLASMA","MONKEY","F","IU/L",44.5113636363636,23.8673714609411,11
"Alanine Aminotransferase","ALT","PLASMA","MONKEY","F","U/L",46.9575396825397,19.0019206745068,30
"Alanine Aminotransferase","ALT","PLASMA","MONKEY","M","IU/L",52.0089285714286,18.1098719549663,14
"Alanine Aminotransferase","ALT","PLASMA","MONKEY","M","U/L",44.7583333333333,9.29961968282632,30
"Alanine Aminotransferase","ALT","PLASMA","MOUSE","F","IU/L",23.7868852459016,7.50149242252734,122
"Alanine Aminotransferase","ALT","PLASMA","MOUSE","M","IU/L",27.1724137931034,6.84167359181551,29
"Alanine Aminotransferase","ALT","PLASMA","MOUSE","M","ukat/L",0.920183,0.365097159962853,18
"Alanine Aminotransferase","ALT","PLASMA","RABBIT","F","U/L",26.0153846153846,5.47457702382052,13
"Alanine Aminotransferase","ALT","PLASMA","RABBIT","M","U/L",28.4538461538462,8.3315030041219,13
"Alanine Aminotransferase","ALT","PLASMA","RAT","F","g/L",41.84,11.0258484178467,10
"Alanine Aminotransferase","ALT","PLASMA","RAT","F","IU/L",26.6543624161074,7.7253789047365,298
"Alanine Aminotransferase","ALT","PLASMA","RAT","F","U/L",33.3542997542998,14.9755658935183,407
"Alanine Aminotransferase","ALT","PLASMA","RAT","M","g/L",43.06,5.25762937707354,10
"Alanine Aminotransferase","ALT","PLASMA","RAT","M","IU/L",33.1833333333333,6.89941742354481,120
"Alanine Aminotransferase","ALT","PLASMA","RAT","M","U/L",42.0939189189189,18.1964098887373,370
"Alanine Aminotransferase","ALT","SERUM","DOG","F","IU/L",32.0588235294118,7.59212886821832,17
"Alanine Aminotransferase","ALT","SERUM","DOG","F","U/L",35.2938597682419,70.2927597650796,526
"Alanine Aminotransferase","ALT","SERUM","DOG","M","IU/L",36.9362745098039,11.1355883371459,17
"Alanine Aminotransferase","ALT","SERUM","DOG","M","U/L",36.2987651188362,48.9663598185377,563
"Alanine Aminotransferase","ALT","SERUM","MONKEY","F","IU/L",51.2348958333333,25.5797601299193,32
"Alanine Aminotransferase","ALT","SERUM","MONKEY","F","U/L",51.1813476409298,30.1037751301743,943
"Alanine Aminotransferase","ALT","SERUM","MONKEY","M","IU/L",53.3763157894737,19.6915522996236,19
"Alanine Aminotransferase","ALT","SERUM","MONKEY","M","U/L",52.1323748682269,22.0277778842774,1054
"Alanine Aminotransferase","ALT","SERUM","MOUSE","F","U/L",46.0096899224806,41.9666268599318,516
"Alanine Aminotransferase","ALT","SERUM","MOUSE","M","U/L",57.6232116788321,68.8824184713731,685
"Alanine Aminotransferase","ALT","SERUM","PIG","F","U/L",37.2978723404255,6.70720790543505,47
"Alanine Aminotransferase","ALT","SERUM","PIG","M","U/L",38.7269503546099,8.88380613881092,47
"Alanine Aminotransferase","ALT","SERUM","RABBIT","F","U/L",35.7380952380952,12.6098771271349,42
"Alanine Aminotransferase","ALT","SERUM","RABBIT","M","U/L",39.330303030303,11.306559970579,66
"Alanine Aminotransferase","ALT","SERUM","RAT","F","IU/L",29.2535087719298,10.5521396296064,190
"Alanine Aminotransferase","ALT","SERUM","RAT","F","U/L",33.7712619547469,19.8232020158666,4287
"Alanine Aminotransferase","ALT","SERUM","RAT","F","ukat/L",0.996071,0.305057114524794,32
"Alanine Aminotransferase","ALT","SERUM","RAT","M","IU/L",29.5099290780142,7.59470967153677,141
"Alanine Aminotransferase","ALT","SERUM","RAT","M","U/L",36.5790330788804,13.5834161760625,4585
"Alanine Aminotransferase","ALT","SERUM","RAT","M","ukat/L",1.0145135,0.212950336636079,32
"Alanine Aminotransferase","ALT","WHOLE BLOOD","DOG","F","U/L",37,5.40201982427112,12
"Alanine Aminotransferase","ALT","WHOLE BLOOD","DOG","M","U/L",36.9166666666667,4.53688586293873,12
"Alanine Aminotransferase","ALT","WHOLE BLOOD","MOUSE","F","U/L",21.3333333333333,4.3003201768227,24
"Alanine Aminotransferase","ALT","WHOLE BLOOD","MOUSE","M","U/L",28.0666666666667,13.7387780747964,30
"Alanine Aminotransferase","ALT","WHOLE BLOOD","RAT","F","U/L",20.346875,6.9250177383239,160
"Alanine Aminotransferase","ALT","WHOLE BLOOD","RAT","M","U/L",26.31375,11.5142077260986,160
"Amylase","AMYLASE","SERUM","MONKEY","F","U/L",302.250952380952,102.940923506768,40
"Amylase","AMYLASE","SERUM","MONKEY","M","U/L",327.100952380952,126.766291801171,40
"Amylase","AMYLASE","SERUM","RAT","F","U/L",1077.168,675.192573915744,125
"Amylase","AMYLASE","SERUM","RAT","M","U/L",1506.42016806723,903.672441366183,119
"Amylase","AMYLASE","WHOLE BLOOD","RAT","F","U/L",1131.65,182.360960261746,30
"Amylase","AMYLASE","WHOLE BLOOD","RAT","M","U/L",1926.15,174.417164905846,30
"Activated Partial Thromboplastin Time","APTT","PLASMA","DOG","F","sec",13.3641395082905,3.25954195569187,583
"Activated Partial Thromboplastin Time","APTT","PLASMA","DOG","M","sec",13.3432203795595,3.20322393603059,547
"Activated Partial Thromboplastin Time","APTT","PLASMA","MONKEY","F","sec",21.1322317379333,3.30700007937273,980
"Activated Partial Thromboplastin Time","APTT","PLASMA","MONKEY","M","sec",21.2671858809749,3.67224451335036,1057
"Activated Partial Thromboplastin Time","APTT","PLASMA","MOUSE","F","sec",23.4684210526316,2.7388263162609,19
"Activated Partial Thromboplastin Time","APTT","PLASMA","MOUSE","M","sec",27.5853658536585,6.68118855352885,41
"Activated Partial Thromboplastin Time","APTT","PLASMA","PIG","F","sec",12.4405660377359,1.44958183416895,53
"Activated Partial Thromboplastin Time","APTT","PLASMA","PIG","M","sec",12.0408805031447,0.956626495838332,53
"Activated Partial Thromboplastin Time","APTT","PLASMA","RABBIT","F","sec",16.8987804878049,3.06208645789268,41
"Activated Partial Thromboplastin Time","APTT","PLASMA","RABBIT","M","sec",17.4454545454545,3.69277076787281,66
"Activated Partial Thromboplastin Time","APTT","PLASMA","RAT","F","sec",15.8925684956264,3.37365101406705,4611
"Activated Partial Thromboplastin Time","APTT","PLASMA","RAT","M","sec",16.9733562773356,3.55441394205242,4649
"Activated Partial Thromboplastin Time","APTT","WHOLE BLOOD","DOG","F","sec",15.7918518518519,3.85754315199098,45
"Activated Partial Thromboplastin Time","APTT","WHOLE BLOOD","DOG","M","sec",14.4769144144144,2.91744560612891,74
"Activated Partial Thromboplastin Time","APTT","WHOLE BLOOD","MONKEY","F","sec",23.4777777777778,2.0899862028354,15
"Activated Partial Thromboplastin Time","APTT","WHOLE BLOOD","MONKEY","M","sec",21.7179487179487,2.38765215557341,39
"Activated Partial Thromboplastin Time","APTT","WHOLE BLOOD","RAT","F","sec",16.3649180327869,4.51750783609507,305
"Activated Partial Thromboplastin Time","APTT","WHOLE BLOOD","RAT","M","sec",17.5160714285714,4.80818287538226,448
"Aspartate Aminotransferase","AST","PLASMA","DOG","F","IU/L",31.0698924731183,4.73736920866569,62
"Aspartate Aminotransferase","AST","PLASMA","DOG","F","U/L",33.044,7.37678239603951,25
"Aspartate Aminotransferase","AST","PLASMA","DOG","M","IU/L",32.9375,4.10538264558453,16
"Aspartate Aminotransferase","AST","PLASMA","DOG","M","U/L",32.312,7.08323287510463,25
"Aspartate Aminotransferase","AST","PLASMA","MONKEY","F","IU/L",49.0909090909091,30.1158747024042,11
"Aspartate Aminotransferase","AST","PLASMA","MONKEY","F","U/L",34.3718253968254,8.79791300013375,30
"Aspartate Aminotransferase","AST","PLASMA","MONKEY","M","IU/L",42.9017857142857,25.5551900198482,14
"Aspartate Aminotransferase","AST","PLASMA","MONKEY","M","U/L",43.9083333333333,12.3923786599093,30
"Aspartate Aminotransferase","AST","PLASMA","MOUSE","F","IU/L",48.9532710280374,7.79983451393161,107
"Aspartate Aminotransferase","AST","PLASMA","MOUSE","M","IU/L",57.2857142857143,9.65105471660259,14
"Aspartate Aminotransferase","AST","PLASMA","MOUSE","M","ukat/L",0.972692833333333,0.18456390197858,18
"Aspartate Aminotransferase","AST","PLASMA","RABBIT","F","U/L",16.7461538461538,4.17958637997737,13
"Aspartate Aminotransferase","AST","PLASMA","RABBIT","M","U/L",22.6307692307692,13.2221962759208,13
"Aspartate Aminotransferase","AST","PLASMA","RAT","F","g/L",93.15,10.7773682625522,10
"Aspartate Aminotransferase","AST","PLASMA","RAT","F","IU/L",69.8020134228188,23.8349627748384,298
"Aspartate Aminotransferase","AST","PLASMA","RAT","F","U/L",73.8819612590799,24.0894942512301,413
"Aspartate Aminotransferase","AST","PLASMA","RAT","M","g/L",106.4,21.9727103471556,10
"Aspartate Aminotransferase","AST","PLASMA","RAT","M","IU/L",78.825,12.3510707867712,120
"Aspartate Aminotransferase","AST","PLASMA","RAT","M","U/L",77.0018518518519,16.8323961127276,378
"Aspartate Aminotransferase","AST","SERUM","DOG","F","IU/L",29.7107843137255,4.62623084664019,17
"Aspartate Aminotransferase","AST","SERUM","DOG","F","U/L",32.5082676987145,54.7138476161441,526
